******************************************************************
*** Stations. Format:
*** ID;Name;Opening Time;Closing Time;Stop Delay;Street;Town;PostalCode
******************************************************************
1;S1;00:00;23:59;8;235 E Garvey Ave;Monterey Park;CA 91755-1811
2;S2;00:00;23:59;13;1527 Franklin Avenue;Mineola;NY 11501-4827
3;S3;00:00;23:59;5;1065 N Aviation Blvd;Manhattan Beach;CA 90266-621
4;S4;00:00;23:59;12;6112 Enterprise Rd;Summit;MS 39666-7589
5;S5;00:00;23:59;6;255 Butler Ave;Lancaster;PA 17601-6308
6;S6;00:00;23:59;16;845 Dracut Ln;Schaumburg;IL 60173-5927
7;S7;00:00;23:59;11;3252 N 49th St;Pennsauken;NJ 08109-2120
8;S8;00:00;23:59;6;1565 Franklin Avenue;Mineola;NY 11501-4808
9;S9;00:00;23:59;12;753 Stillwater Ave, Ste 5;Bangor;ME 04401-3633
10;S10;00:00;23:59;12;4626 N Harlem Ave;Harwood Heights;IL 60706-4714
11;S11;00:00;23:59;18;9950 W 116th Pl;Overland Park;KS 66210-3103
12;S12;00:00;23:59;5;18214 Via Calma;Rowland Heights;CA 91748-3350
13;S13;00:00;23:59;18;7870 SE 171st Buchanan Pl;Lady Lake;FL 32162-8313
14;S14;00:00;23:59;8;734 Wampler Dr;Charleston;SC 29412-9157
15;S15;00:00;23:59;14;109 Shartom Dr;Augusta;GA 30907-4712
16;S16;00:00;23:59;8;110 W Arrow Hwy;Upland;CA 91786-5238
17;S17;00:00;23:59;10;1001 E Grant St, Unit F1;Santa Ana;CA 92701-8527
18;S18;00:00;23:59;7;721 Ninth Ave;New York;NY 10019-7256
19;S19;00:00;23:59;11;13 Fraternity Row;Gainesville;FL 32603-2174
20;S20;00:00;23:59;15;17403 Harlan D;Yorba Linda;CA 92886-1876
21;S21;00:00;23:59;15;19870 NW 54th Ave;Miami Gardens;FL 33055-1668
22;S22;00:00;23:59;7;1060 Beam Rd;Denver;PA 17517-9746
23;S23;00:00;23:59;7;1700 McHenry Ave, Ste 23;Modesto;CA 95350-4329
24;S24;00:00;23:59;14;5529 Joshua St;Lansing;MI 48911-3960
25;S25;00:00;23:59;20;19991 Santa Maria Ave;Castro Valley;CA 94546-4262
26;S26;00:00;23:59;20;805 SE Broad St;Metter;GA 30439-3932
27;S27;00:00;23:59;7;21710 Lundy Dr;Farmington Hills;MI 48336-4639
28;S28;00:00;23:59;15;4347 W 176th St;Torrance;CA 90504-3127
29;S29;00:00;23:59;20;218 Ash Ave;Ames;IA 50014-7115
30;S30;00:00;23:59;17;1635 Camile Pl;Santa Ana;CA 92703-4401
31;S31;00:00;23:59;15;109 Fountain Oaks Cir, Apt 63;Sacramento;CA 95831-5147
32;S32;00:00;23:59;6;1600 N Wilmot Rd;Tucson;AZ 85712-4456
33;S33;00:00;23:59;9;304 Shamrock Pl;Richardson;TX 75081-3960
34;S34;00:00;23:59;5;121 Spring Garden Dr;Hutto;TX 78634-4015
35;S35;00:00;23:59;8;8141 S East St;Indianapolis;IN 46227-2725
36;S36;00:00;23:59;15;2138 Nimrick Ln;San Jose;CA 95124-6015
37;S37;00:00;23:59;14;12605 Beach Blvd;Stanton;CA 90680-4007
38;S38;00:00;23:59;9;3621 Sterling Woods Dr;Eugene;OR 97408-7201
39;S39;00:00;23:59;12;1900 68th Ave;Greeley;CO 80634-7967
40;S40;00:00;23:59;13;6131 Monterey Rd, Apt 1;Los Angeles;CA 90042-4328
41;S41;00:00;23:59;9;6218 Mershon St;Philadelphia;PA 19149-3014
42;S42;00:00;23:59;9;155 Mineola Boulevard;Mineola;NY 11501-3920
43;S43;00:00;23:59;10;5012 W 163rd St;Stilwell;KS 66085-8243
44;S44;00:00;23:59;13;16502 Trailway Dr;Macomb;MI 48042-5777
45;S45;00:00;23:59;15;20918 State Highway 59;Noel;MO 64854-8278
46;S46;00:00;23:59;19;2044 22nd St;San Pablo;CA 94806-3539
47;S47;00:00;23:59;5;1272 70th St;Brooklyn;NY 11228-1406
48;S48;00:00;23:59;9;632 State St;White Haven;PA 18661-4028
49;S49;00:00;23:59;18;2111 E Belt Line Rd;Richardson;TX 75081-3900
50;S50;00:00;23:59;20;64711 E County Line Rd;Millersburg;IN 46543-9741
******************************************************************
*** Customers. Format:
*** ID;First Name;Last Name;Street;Town;PostalCode
******************************************************************
234315;Archilai;Stoneman;14981 Swenson St;San Leandro;CA 94579-1743
234385;Cyndi;Arroyo;2752 Kollmar Dr;San Jose;CA 95127-4062
244640;Margarete;Hymes;14057 Arthur Ave;Paramount;CA 90723-2207
247608;Sybil ;Grace;211 New Market Rd E;Immokalee;FL 34142-3506
251468;Sarah ;Shopland;25 South Raymond Avenue;Alhambra;CA 91801-3128
255794;Artie;Bennallack;16731 SE 49th St;Bellevue;WA 98006-5867
255864;Brian;Crook;310 Beecher Ave;Toledo;OH 43615-5704
257017;Marica;Soldner;185 Willis Avenue Suite 6;Mineola;NY 11501-2640
257547;Ginny;Ghee;371 Channelside Walk Way;Tampa;FL 33602-6766
257837;Charlie;Yeo;10 Wall St;Burlington;MA 01803-4749
257936;Jocatta ;Tolman;5808 Toebbe Ln;Louisville;KY 40229-1363
258977;Dagmar;May;1303 W Grant St;Phoenix;AZ 85007-3412
263685;Mable ;Pulsford;242 Hampden Ave;Narberth;PA 19072-1910
277702;Bartholomew;Wadham;32 Stovel Cir;Colorado Springs;CO 80916-4704
285052;Cornelius;Truscott;2846 Lebanon Pike;Nashville;TN 37214-2519
285268;Bevil;Oates;15251 Nordhoff St;North Hills;CA 91343-2249
285734;Zacharias;Daw;346 Charlton St;Southbridge;MA 01550-1356
286188;Jasper;Hatherly;3050 Bristol St;Costa Mesa;CA 92626-3036
291096;Jude;Heilig;10 W 33rd St, Rm 1221;New York;NY 10001-3306
291700;Agnes;Pawley;52 Stanford Rd E;Pennington;NJ 08534-5107
292689;Alice ;Sherard;28 Milford St;Medway;MA 02053-1631
295522;Williams;Wittle;1803 S Eighth St;Rogers;AR 72756-5912
303752;Alexander;Sherard;1017 Murray Dr;Santa Maria;CA 93454-5512
304281;Carola;Mudge;13702 Maplerow Ave;Garfield Heights;OH 44105-6804
307402;Dagmar;Abdo;2510 E Arkansas Ln, Ste 114;Arlington;TX 76014-1746
311792;Keiko;Meadows;2250 Jewel St;Longmont;CO 80501-1219
314062;Kristof;Daw;5419 N Fairhill St;Philadelphia;PA 19120-2710
315181;Nestor;Bento;102 Robinson St, Apt 2;Woonsocket;RI 02895-2154
318586;Diricus;Lawday;55 Washington Street;Bloomfield;NJ 07003-2483
321427;Jocatta ;Williams;4 Prescott Ave;Dix Hills;NY 11746-6925
321938;Francisco;Lipe;1 West Street;Mineola;NY 11501-4813
323221;Bobbi;Abdo;10824 Roycroft St, Apt 204;Sun Valley;CA 91352-1601
323672;Dagmar;Sherard;4840 Eastern Ave NE;Washington;DC 20017-3129
325499;Sherie;Waldeck;1224 W Historic Mitchell St;Milwaukee;WI 53204-3329
328140;Felipa;Parkes;1354 Waukegan Rd;Northbrook;IL 60062-4680
328869;Silvio;Bennallack;12812 Garden Grove Blvd, Ste I;Garden Grove;CA 92843-2009
329120;Lucas;Norrish;3135 Park Ave, Apt 13M;Bronx;NY 10451-4070
329752;Mable ;Georges;383 E Dunstable Rd;Nashua;NH 03062-4216
331686;Odell;Dunigan;2711 Grants Lake Blvd;Sugar Land;TX 77479-1378
333650;Henry;Clouse;9436 Highway 5;Douglasville;GA 30135-1510
335688;Lucas;Brooks;8407 Kearsarge Dr;Austin;TX 78745-7647
341633;Jeremy;Hocking;1201 Boynton Dr;Chattanooga;TN 37402-2144
342612;Stefanos;Bowden;1119 Burr St;Lake In The Hills;IL 60156-1122
344118;Daysi;Eisenhart;1250 Omega Circle Dr;Dekalb;IL 60115-5834
344729;Daniel;Down;130 E 18th St;New York;NY 10003-2416
348174;Bobbi;Stevens;2739 Westerwood Village Dr;Charlotte;NC 28214-2563
364091;Elsie;Gidley;5610 Old Fayetteville Rd;Sylacauga;AL 35151-4801
371633;Diricus;Tovar;3711 E Birchwood Ave;Cudahy;WI 53110-2703
377284;Gartheride ;Newcombe;2200 Oneida St;Joliet;IL 60435-6578
379471;Fulk;Daw;9473 SW 76th St;Miami;FL 33173-3366
379933;Dionisis;Holmes;1409 W Main St;Oklahoma City;OK 73106-5225
380037;Janise;Hanscom;6320 Boca Del Mar Dr;Boca Raton;FL 33433-5735
381855;Rees;Mcdowell;8448 Mayhews Landing Rd;Newark;CA 94560-2761
384504;Mikel;Stlawrence;74 Elm St;Potsdam;NY 13676-1813
392206;Keiko;Lamswood;1029 Georgetown Rd;Norfolk;VA 23502-2706
394992;Ely;Mcilrath;700 County Road 630a;Frostproof;FL 33843-9338
401762;Prudence ;Brooks;373 Tamarack Trl;Farmington;MN 55024-7119
402408;Kristof;Richards;7475 N First St, Ste 101;Fresno;CA 93720-2849
419890;Anchor;Slee;9225 Mira Mesa Blvd, Ste 103;San Diego;CA 92126-4810
420498;Agnes;Glatz;600 Laskin Rd;Virginia Beach;VA 23451-3976
424440;Bevil;Hodge;6301 Forbes Ave, Ste 301;Pittsburgh;PA 15217-1725
435289;Alexander;Drake;805 Johnston St;Greenville;NC 27858-2420
437115;Elinor;Farquharson;58 Madison Ave;Perth Amboy;NJ 08861-4623
438245;Helena;Yeo;80 2nd Street;Mineola;NY 11501-3008
438818;Mable ;Lipe;145 Jacks Mountain Rd;Mc Veytown;PA 17051-8003
440290;Gayla;Clardy;3170 S Jasmine Way;Denver;CO 80222-7628
444555;Jesse;Curtiss;13900 Tahiti Way;Marina Del Rey;CA 90292-6586
446054;Benedict;Clouse;24 Allentown Rd;Souderton;PA 18964-2228
447596;Winifred ;Jones;1000 Post Rd;Scarsdale;NY 10583-4301
450309;Brian;Parkes;429 Second Ave;New York;NY 10010-3101
451530;Julieann;Farquharson;102 E Johnson St;Cary;NC 27513-4615
457280;Elsie;Satchwill;3880 Rib Mountain Dr;Wausau;WI 54401-7482
457873;Cyndi;Shibley;3219 Granada St;Los Angeles;CA 90065-1701
460471;Gartheride ;Mudge;9 Circle High Dr;Little Rock;AR 72207-5130
461294;Anchor;Luscombe;2053 N Berendo St;Los Angeles;CA 90027-1906
462408;Anchor;Puddicombe;903 Remington Rd;Wynnewood;PA 19096-1606
463297;Florence ;Stevens;3536 Oakdale Rd;Modesto;CA 95357-0724
467052;Cuthbert;Bazley;6910 Melba Ave;West Hills;CA 91307-2413
468307;Lucas;Shibley;81 Grand St;Albany;NY 12202-1769
470064;Sibill;Diment;35746 Haley St;Newark;CA 94560-1161
472130;Elinor;Lovering;1108 West Valley Boulevard Sui;Alhambra;CA 91803-2479
472903;Dorotha;Bomgardner;1020 Thompson Pl;Nashville;TN 37217-1837
477363;Carola;Wardell;1607 Stoddard St;Rockford;IL 61108-6422
478219;Williams;Pawley;1603 Oneida St;Utica;NY 13501-4701
481687;Francisco;Mullice;6410 W Jefferson Blvd;Fort Wayne;IN 46804-6285
484755;Winifred ;Aplin;2006 Larkhall Rd;Dundalk;MD 21222-5605
485824;Miltiadis;Mullice;1906 Brassie Dr;Saint Louis;MO 63114-5730
495328;Sibill;Jillard;927 Hilton Rd;Ferndale;MI 48220-2522
496222;Arthur;Kyle;19319 Chamblee Ave;Cerritos;CA 90703-6750
496638;Marinda;Bowden;200 S Laurel Ave;Middletown;NJ 07748-1914
497952;Shanae;Waldeck;3 N 16th St, Apt 3E;Harrisburg;PA 17103-2352
504766;Lan;Rine;969 Patrick Henry Dr;Arlington;VA 22205-1457
504908;Ely;Knight;96 Notre Dame Dr;Vacaville;CA 95687
506197;Denton;Puddicombe;1801 S Main St;Findlay;OH 45840-1324
509377;Winefred;Savage;PO Box 837;Patagonia;AZ 85624-0837
513185;Francene;Munro;410 Gardenia Ln;Buffalo Grove;IL 60089-1661
518881;Elsie;Shibley;2255 Satellite Blvd, Apt F103;Duluth;GA 30097-6226
521244;Eduardo;Sherard;820 South Garfield Avenue;Alhambra;CA 91801-5838
523254;Augustin;Shirley;505 Warwick Dr;Venice;FL 34293-4221
525830;Donetta;Rebelo;1524 NW 23rd Ave;Portland;OR 97210-2686
529612;Christa;Puddicombe;16501 Jamaica Ave;Jamaica;NY 11432-4900
538248;Kristof;Clardy;6333 Canoga Ave, Apt 119;Woodland Hills;CA 91367-7709
545067;Chet;Jillard;1760 E Horseshoe Ct;Gilbert;AZ 85296-2009
546499;Ellis;Collins;405 Fall Creek D;Richardson;TX 75080-2508
549007;Lucy ;Satchwill;2454 S Conway Rd;Orlando;FL 32812-456
558488;Chet;Rice;1700 W New Haven Ave;Melbourne;FL 32904-3919
565899;Cyndi;Wardell;38778 Stonington Ter;Fremont;CA 94536-4278
572127;Zana;Reny;353 Pierpont Ave;Salt Lake City;UT 84101-1712
572825;Enoch;Heard;8025 Sierra Largo Dr;Las Vegas;NV 89128-7999
572874;Thomasina ;Luscombe;10477 Main St;New Middletown;OH 44442-8761
577715;Charlie;Curtiss;156 Willis Avenue;Mineola;NY 11501-2615
580793;Tory;Flom;2317 Dickens Ave;Charlotte;NC 28208-381
584592;Carola;Haycraft;1721 Tacoma Ave;Berkeley;CA 94707-1828
585093;Erasmus;Glover;149 Watchung Ave;Montclair;NJ 07043-1712
593226;Mikel;Fowler;5031 N Lyman Ave;Covina;CA 91724-1328
596674;Colin;Chapman;2832 Amerson Way;Ellenwood;GA 30294-3833
600940;Brian;Little;315 N Ferry St;Ludington;MI 49431-1612
604003;Margerie;Seccombe;142 Willis Avenue;Mineola;NY 11501-2625
608505;Sherie;Swedberg;PO Box 1322;Saint Charles;IL 60174-7322
608911;Lawrence;Lopp;599 Bloomfield Avenue;Bloomfield;NJ 07003-2502
610039;Cuthbert;Hatherly;8423 Washington Blvd;Pico Rivera;CA 90660-3767
610605;Beatrice ;Gidley;1197 Lanier Blvd NE;Atlanta;GA 30306-3567
613472;Archilai;Puddicombe;999 E Valley Blvd;Alhambra;CA 91801-0900
613811;Donnie;Shopland;24881 Chernick St;Taylor;MI 48180-2113
614832;Odell;Pulsford;17878 Preston Rd;Dallas;TX 75252-5600
615656;Cher;Tovar;423 N Cleveland St;Arlington;VA 22201-1423
623809;Maria;Down;12401 W Okeechobee Rd;Hialeah;FL 33018-2924
624140;Ghislaine;Curtiss;565 Atlanta South Pkwy;Atlanta;GA 30349-5958
627040;Tabetha;Fuhrman;7540 Edinborough Way;Minneapolis;MN 55435-4770
628158;Thomasina ;Lamswood;726 South Garfield Avenue;Alhambra;CA 91801-4437
634935;Jeremy;Newcombe;6901 Valley Ave;Philadelphia;PA 19128-1545
636698;Felipa;Arroyo;1241 S New Ave;Springfield;MO 65807-1350
640925;Chet;Stebbins;6991 Petten Curv;Memphis;TN 38133-4878
642924;Lettice ;Couch;PO Box 320;Kahuku;HI 96731-0320
643578;Stefanos;Haycraft;2905 Aetna Way;San Jose;CA 95121-2304
647761;Dionisis;Williams;7225 Bellerive Dr;Houston;TX 77036-3100
647877;Dorotha;Wills;6258 Amesbury St;San Diego;CA 92114-6717
653407;Cornelius;Wills;1598 Rockville Pike;Rockville;MD 20852-5606
655384;Larry;Ferreira;24000 Edgehill Dr;Beachwood;OH 44122-1228
655563;Hellen;Bazley;100 East 2nd Street;Mineola;NY 11501-3502
657307;Georgette ;Jones;3309 Hazelwood Ave;Downingtown;PA 19335-2026
658649;Ely;Norrish;4600 Richmond Ave;Austin;TX 78745-1835
660528;Marian ;Reed;4665 Jefferson Township Ln;Marietta;GA 30066-1701
660925;Colin;Knight;9402 Bentridge Ave;Potomac;MD 20854-2870
664589;Lettice ;Jones;9105 Tyler Ave;Jacksonville;FL 32208-2356
666364;Margerie;Farmer;159 W Tuolumne Rd, Apt W;Turlock;CA 95382-1065
672668;Francisco;Haycraft;3749 W Oregon Ave;Phoenix;AZ 85019-3389
677775;Matthew;Knight;1518 Grand Dr;Dekalb;IL 60115-1090
678484;Brian;Reed;4470 NW 16th Ter;Oakland Park;FL 33309-4557
680837;Lawrence;Truscott;535 Pierce St, Apt 1206;Albany;CA 94706-1053
682308;David;Southcott;1140 Edmonds Ave NE, Apt 304;Renton;WA 98056-2963
683258;Gregory;Surridge;6063 N Sauganash Ave;Chicago;IL 60646-5240
686830;Henry;Beer;12314 Ashford Place D;Sugar Land;TX 77478-6180
694654;Ninion;Surridge;121 Kee Rd;Belmont;NC 28012-2810
697328;Alexander;Hanscom;38-08 Victoria Rd;Fair Lawn;NJ 07410-5033
698328;Judith ;Kingstone;PO Box 4155;Jackson;WY 83001-4155
698579;Peter;Thorn;160 Mineola Boulevard;Mineola;NY 11501-3937
699813;Artie;Mauricio;20401 Soledad Canyon Rd;Canyon Country;CA 91351-2556
702646;Felix;Crocker;5527 Saint Andrew Dr;Clarkston;MI 48348-4833
704137;Margareta;Tuckett;928 Calle Simpatico;Glendale;CA 91208-3031
711809;Felix;Fowler;3655 Millbranch Rd;Memphis;TN 38116-4817
716391;Jocatta ;Lee;2412 Hardie St;Greensboro;NC 27403-3710
717046;Malinda;Bento;1050 Buckingham St;Watertown;CT 06795-6602
722712;Leisa;Bagley;604 Paramus Rd;Paramus;NJ 07652-1711
724176;Elsie;Lovering;12421 Copperfield Dr;Austin;TX 78753-7082
724724;Bevil;Knight;3559 55th Ave;Hyattsville;MD 20784-1044
725412;Elsie;Stevens;100 North 1st Street;Alhambra;CA 91801-3531
733002;Janise;Aaron;25 Danny Rd;Hyde Park;MA 02136-1908
737490;Gartheride ;Stoneman;4510 W Capitol Dr;Milwaukee;WI 53216-1564
738950;Fulk;James;700 N Town East Blvd;Mesquite;TX 75150-4769
745584;Hellen;Mullice;4701 Randolph Rd, Ste 103;Rockville;MD 20852-2260
755242;Reginald;Kendall;315 Barr Elms Ave;Joliet;IL 60433-2125
759499;Sibill;Parkes;51 Everett Dr;Princeton Junction;NJ 08550-5374
765771;Everard;May;2447 30th St SW;Allentown;PA 18103-7082
768280;Howel;Seccombe;5604 Lafayette Rd;Medina;OH 44256-2466
768402;Xenofon;Turpin;5517 Winthrop Ave;Indianapolis;IN 46220-3248
769318;Odell;Holmes;7818 Liberty Rd;Windsor Mill;MD 21244-3863
770328;Marica;Grassi;554 S Bond St;Anaheim;CA 92805-4823
772077;Annita;Meadows;4057 Valderrama;Pleasant Grove;UT 84062-8547
772331;Alice ;Wadham;3500 NW Boca Raton Blvd;Boca Raton;FL 33431-5851
783978;Sherie;Puddicombe;14008 Casimir Ave;Gardena;CA 90249-2811
788669;Tabetha;Neck;8616 Ryan Dr;Fishers;IN 46038-5264
795087;Carola;Mcilrath;2237 Fernley Ave;Sacramento;CA 95815-2930
798067;Winefred;Norrish;224 S Milledge Ave;Athens;GA 30605-1046
805253;Pantelis;Ash;3434 S Longfellow Cir;Hollywood;FL 33021-4950
806104;Cornelius;Bento;4720 N Lockwood Ridge Rd;Sarasota;FL 34234-5020
806359;Jeremy;Wardell;1917 Summit Ave;Union City;NJ 07087-2023
807142;Matthew;Palmer;324 S Wayne St;Piqua;OH 45356-3519
811523;Susanna ;Haycraft;1 Birch Ct;Orangeburg;NY 10962-2829
815882;Francisco;Fuhrman;5209 Fruitridge Rd;Sacramento;CA 95820-5435
827508;Lawrence;Gidley;630 S Euclid St;Santa Ana;CA 92704-1712
